	Month of Period End
Lawton, OK	74
Layhill, MD	239
Laymantown, VA	143
Layton, FL	437
Layton, NJ	202
Layton, UT	198
Laytonsville, MD	
Laytonville, CA	
Lazy Acres, CO	
Lazy Lake, FL	
Lazy Mountain, AK	275
Lazy Y U, AZ	
Le Center, MN	196
Le Claire, IA	127
Le Grand, CA	251
Le Grand, IA	128
Le Ray, NY	154
Le Raysville, PA	
Le Roy, IL	
Le Roy, MN	109
Le Roy, NY	97
Le Sueur, MN	131
Lea Hill, WA	288
Leachville, AR	
Lead Hill, AR	
Lead, SD	138
Leadington, MO	131
Leadwood, MO	74
Leaf River, IL	48
League City, TX	163
Lealman, FL	242
Leamersville, PA	
Leander, TX	216
Learned, MS	
Leary, TX	58
Leavenworth, KS	132
Leavenworth, WA	356
Leavittsburg, OH	69
Leawood, KS	186
Leawood, MO	103
Lebanon Junction, KY	129
Lebanon South, PA	98
Lebanon, IL	110
Lebanon, IN	158
Lebanon, MO	127
Lebanon, NH	298
Lebanon, NJ	204
Lebanon, NY	116
Lebanon, OH	167
Lebanon, OR	246
Lebanon, PA	98
Lebanon, TN	207
Lebanon, WI	
Lebec, CA	
Lecanto, FL	185
Lecompte, LA	
Lecompton, KS	
Ledbetter, KY	102
Ledgewood, NJ	297
Ledyard, NY	265
Lee Center, IL	
Lee, IL	
Lee, MA	120
Lee, NY	56
Lee's Summit, MO	171
Leechburg, PA	99
Leeds Point, NJ	
Leeds, AL	126
Leeds, UT	200
Leesburg, FL	172
Leesburg, GA	115
Leesburg, IN	
Leesburg, NJ	175
Leesburg, VA	259
Leesport, PA	200
Leesville, LA	54
Leesville, OH	
Leesylvania, VA	199
Leeton, MO	419
Leetonia, OH	
Leetsdale, PA	
Lefors, TX	
Legend Lake, WI	214
Leggett, CA	
Leggett, NC	
Lehi, UT	206
Lehigh Acres, FL	208
Lehigh, IA	
Lehighton, PA	109
Leicester, MA	243
Leicester, NY	
Leighton, AL	
Leilani Estates, HI	288
Leipsic, DE	
Leisure City, FL	299
Leisure Knoll, NJ	220
Leisure Village East, NJ	217
Leisure Village West, NJ	171
Leisure Village, NJ	172
Leisure World, MD	211
Leisuretowne, NJ	181
Leitersburg, MD	
Leith-Hatfield, PA	152
Leland Grove, IL	111
Leland, IL	131
Leland, MI	
Leland, MS	
Leland, NC	206
Lely Resort, FL	352
Lely, FL	247
Lemannville, LA	
Lemay, MO	143
Leming, TX	
Lemmon Valley, NV	345
Lemon Cove, CA	
Lemon Grove, CA	464
Lemon Grove, FL	
Lemon Hill, CA	267
Lemont Furnace, PA	
Lemont, IL	203
Lemont, PA	178
Lemoore, CA	219
Lemoyne, PA	116
Lena, IL	35
Lena, WI	229
Lenape Heights, PA	
Lenexa, KS	185
Lenhartsville, PA	211
Lenkerville, PA	
Lennon, MI	116
Lennox, CA	643
Lennox, SD	229
Lenoir City, TN	207
Lenoir, NC	152
Lenox Dale, MA	
Lenox, MA	335
Lenox, NY	79
Lenox, TN	160
Lenwood, CA	213
Lenzburg, IL	
Leo-Cedarville, IN	151
Leola, AR	
Leola, PA	212
Leoma, TN	
Leominster, MA	258
Leon Valley, TX	167
Leon, KS	
Leon, NY	115
Leon, OK	
Leona Valley, CA	
Leonard, MI	
Leonard, OK	171
Leonard, TX	143
Leonardo, NJ	364
Leonardtown, MD	161
Leonardville, KS	
Leonia, NJ	495
Leonore, IL	
Leonville, LA	
Leopolis, WI	
Leota, MN	
Lepanto, AR	
Lerna, IL	
Leroy, AL	
Leroy, TX	
Leshara, NE	
Leslie, GA	
Leslie, MI	63
Leslie, MO	
Lesslie, SC	229
Lester Prairie, MN	140
Lester, AL	
Lesterville, SD	
Letha, ID	
Letona, AR	40
Levan, UT	
Levasy, MO	
Level Green, PA	177
Level Park-Oak Park, MI	109
Level Plains, AL	124
Levelland, TX	105
Leverett, MA	
Levittown, NY	461
Levittown, PA	226
Lewis & Clark Village, MO	
Lewis Run, PA	
Lewisberry, PA	334
Lewisboro, NY	299
Lewisburg, LA	
Lewisburg, PA	165
Lewisburg, TN	201
Lewisport, KY	151
Lewiston, ID	217
Lewiston, ME	177
Lewiston, MN	107
Lewiston, NY	175
Lewiston, UT	205
Lewistown, IL	64
Lewistown, MD	248
Lewistown, MO	
Lewistown, OH	
Lewistown, PA	56
Lewisville, ID	
Lewisville, IN	
Lewisville, NC	157
Lewisville, TX	216
Lewisville, WA	279
Lexa, AR	
Lexington Hills, CA	766
Lexington Park, MD	138
Lexington-Fayette, KY	168
Lexington, AL	81
Lexington, IL	78
Lexington, KY	168
Lexington, MA	534
Lexington, MN	222
Lexington, MO	104
Lexington, MS	
Lexington, NC	148
Lexington, NE	128
Lexington, OH	130
Lexington, OK	149
Lexington, OR	
Lexington, WA	228
Leyden, MA	247
Leyner, CO	
Liberal, KS	97
Liberty City, TX	125
Liberty Corner, NJ	281
Liberty Hill, TX	188
Liberty Lake, WA	244
Liberty Township, OH	172
Liberty Triangle, FL	155
Liberty, IL	
Liberty, IN	
Liberty, KS	
Liberty, MO	161
Liberty, NC	163
Liberty, NE	
Liberty, OK	
Liberty, PA	107
Liberty, SC	158
Liberty, TX	144
Liberty, UT	313
Libertytown, MD	129
Libertyville, IA	
Libertyville, IL	225
Lidderdale, IA	
Lido Beach, NY	
Light Oak, NC	
Lighthouse Point, FL	377
Lightstreet, PA	149
Ligonier, IN	151
Ligonier, PA	166
Lihue, HI	752
Lilburn, GA	179
Lilesville, NC	
Lillian, AL	411
Lillington, NC	166
Lilly, PA	67
Lily Lake, IL	175
Lily Lake, WI	
Lilydale, MN	190
Lima, IL	
Lima, NY	
Lima, OH	92
Lima, PA	
Limaville, OH	
Lime Lake, NY	
Lime Ridge, PA	
Lime Ridge, WI	
Limestone Creek, FL	323
Limestone, FL	
Limestone, IL	105
Limestone, NY	
Limestone, OK	221
Lincoln Beach, OR	334
Lincoln City, OR	372
Lincoln Heights, OH	
Lincoln Park, CO	164
Lincoln Park, GA	
Lincoln Park, MI	128
Lincoln Park, NJ	296
Lincoln Park, NY	
Lincoln Park, PA	180
Lincoln Park, TX	176
Lincoln University, PA	188
Lincoln Village, CA	249
Lincoln Village, OH	155
Lincoln, AL	159
Lincoln, AR	132
Lincoln, CA	327
Lincoln, ID	147
Lincoln, IL	78
Lincoln, MA	400
Lincoln, ME	110
Lincoln, MT	262
Lincoln, NE	155
Lincoln, NH	344
Lincoln, NY	
Lincoln, PA	187
Lincoln, RI	265
Lincolndale, NY	328
Lincolnia, VA	312
Lincolnshire, IL	246
Lincolnshire, KY	
Lincolnton, GA	40
Lincolnton, NC	156
Lincolnville, PA	
Lincolnville, SC	176
Lincolnwood, IL	239
Lincroft, NJ	364
Lind, WA	118
Linda, CA	258
Lindale, GA	125
Lindale, TX	178
Lindcove, CA	
Linden Springs, MD	272
Linden, AZ	233
Linden, CA	331
Linden, IA	
Linden, IN	
Linden, MI	221
Linden, NC	
Linden, NJ	447
Linden, WI	61
Lindenhurst, IL	154
Lindenhurst, NY	302
Lindenwold, NJ	178
Lindley, NY	
Lindon, UT	220
Linds Crossing, PA	
Lindsay, CA	92
Lindsay, NE	
Lindsay, TX	143
Lindsborg, KS	137
Lindsey, OH	
Lindstrom, MN	215
Linesville, PA	
Linganore, MD	239
Linglestown, PA	171
Lingleville, TX	
Linn Grove, IA	
Linn Valley, KS	170
Linn, MO	
Linn, TX	
Linndale, OH	
Linntown, PA	
Lino Lakes, MN	197
Linoma Beach, NE	
Linthicum Heights, MD	125
Linthicum, MD	192
Linton Hall, VA	212
Linville, VA	
Linwood, KS	
Linwood, NJ	232
Linwood, NY	
Linwood, PA	138
Lionville, PA	236
Lipan, TX	
Lipscomb, AL	
Lisbon Falls, ME	165
Lisbon, FL	
Lisbon, IA	116
Lisbon, IL	
Lisbon, MD	
Lisbon, NH	109
Lisbon, NY	
Lisbon, OH	
Liscomb, IA	
Lisle, IL	206
Lisle, NY	222
Lismore, MN	
Litchfield Beach, SC	295
Litchfield Park, AZ	258
Litchfield, CA	
Litchfield, CT	233
Litchfield, MI	
Litchfield, NY	
Literberry, IL	
Lithia Springs, GA	158
Lithonia, GA	132
Lithopolis, OH	173
Lititz, PA	183
Little Bitterroot Lake, MT	537
Little Britain, PA	219
Little Canada, MN	180
Little Chute, WI	171
Little Compton, RI	357
Little Creek, DE	
Little Cypress, TX	80
Little Elm, TX	196
Little Falls, ME	
Little Falls, NY	38
Little Ferry, NJ	311
Little Flock, AR	190
Little Hocking, OH	89
Little Mountain, SC	
Little Orleans, MD	
Little River-Academy, TX	108
Little River, CA	
Little River, SC	211
Little Rock, AR	125
Little Silver, NJ	407
Little Sioux, IA	
Little Valley, CA	
Little Valley, NY	
Little Walnut Village, NM	165
Little York, IN	
Littlejohn Island, ME	
Littlerock, CA	352
Littlestown, PA	122
Littleton Common, MA	311
Littleton, CO	280
Littleton, MA	356
Littleton, NC	99
Littleton, NH	85
Littletown, AZ	
Littleville, AL	85
Live Oak, CA	496
Live Oak, SC	
Live Oak, TX	172
Livermore Falls, ME	84
Livermore, CA	613
Livermore, KY	70
Liverpool, IL	
Liverpool, NY	153
Liverpool, PA	189
Liverpool, TX	
Livingston Wheeler, NM	
Livingston, CA	193
Livingston, IL	
Livingston, LA	159
Livingston, NY	467
Livingston, SC	
Livingston, TN	134
Livingston, WI	
Livonia Center, NY	29
Livonia, IN	
Livonia, LA	90
Livonia, MI	202
Livonia, NY	171
Lizton, IN	164
Llano Grande, TX	
Llano, CA	161
Llewellyn Park, NJ	
Lloyd Harbor, NY	276
Lloyd, FL	
Lloyd, NY	213
Lloydsville, OH	
Loachapoka, AL	
Loami, IL	
Lobeco, SC	
Lobo Canyon, NM	
Loch Arbour, NJ	
Loch Lloyd, MO	251
Loch Lomond, VA	275
Lochbuie, CO	243
Lochearn, MD	189
Lochmoor Waterway Estates, FL	211
Lochsloy, WA	353
Lock Haven, PA	78
Lockbourne, OH	123
Locke, NY	
Lockeford, CA	346
Lockhart, FL	210
Lockhart, SC	
Lockhart, TX	192
Lockington, OH	
Lockland, OH	
Lockport Heights, IL	291
Lockport Heights, LA	
Lockport, IL	169
Lockport, LA	100
Lockport, NY	100
Lockridge, IA	
Lockwood, CA	659
Lockwood, MT	144
Loco Hills, NM	
Locust Fork, AL	
Locust Grove, GA	155
Locust Hill, VA	
Locust Valley, NY	332
Locust, NC	182
Locustdale, PA	
Lodi, CA	296
Lodi, NJ	289
Lodi, NY	
Lodi, OH	130
Lodi, WI	300
Lofall, WA	430
Log Cabin, TX	318
Log Lane Village, CO	202
Logan Creek, NV	
Logan Elm Village, OH	
Logan, IA	123
Logan, MT	
Logan, OH	135
Logan, UT	207
Logansport, IN	57
Logansport, LA	
Loganton, PA	
Loganville, GA	160
Loganville, PA	173
Loganville, WI	
Loghill Village, CO	394
Lohman, MO	119
Loleta, CA	97
Lolo, MT	305
Loma Linda East, TX	
Loma Linda, CA	329
Loma Linda, MO	115
Loma Mar, CA	
Loma Rica, CA	334
Loma, CO	
Lomax, IL	
Lombard, IL	209
Lometa, TX	138
Lomira, WI	167
Lomita, CA	698
Lompico, CA	509
Lompoc, CA	303
Lonaconing, MD	49
London Mills, IL	
London, AR	124
London, CA	
London, KY	123
London, OH	146
Londonderry, NH	257
Londontowne, MD	314
Lone Grove, OK	144
Lone Jack, MO	210
Lone Oak, GA	
Lone Oak, TX	143
Lone Tree, CO	266
Lone Tree, IA	118
Long Barn, CA	
Long Beach, CA	583
Long Beach, IN	282
Long Beach, MD	200
Long Beach, MS	139
Long Beach, NY	583
Long Branch, NJ	445
Long Branch, PA	
Long Branch, VA	346
Long Creek, IL	116
Long Creek, NC	
Long Grove, IA	190
Long Grove, IL	233
Long Hill, CT	59
Long Lake, IL	131
Long Lake, MN	270
Long Lake, WI	
Long Point, IL	
Long Valley, NJ	238
Long View, NC	133
Long, OK	
Longboat Key, FL	715
Longbranch, WA	395
Longcreek, SC	
Longfellow, PA	
Longmeadow, MA	220
Longmont, CO	243
Longport, NJ	843
Longstreet, LA	
Longtown, OK	183
Longview Heights, WA	206
Longview, IL	
Longview, TX	134
Longview, WA	256
Longville, LA	
Longville, MN	
Longwood, FL	236
Lonoke, AR	102
Lonsdale, AR	
Lonsdale, MN	165
Lookingglass, OR	
Lookout Mountain, AL	34
Loomis, CA	314
Loomis, SD	
Loon Lake, WA	561
Loop, PA	176
Lopatcong Overlook, NJ	
Lopezville, TX	
Lorain, OH	100
Lorain, PA	79
Loraine, IL	
Lorane, PA	74
Lordship, CT	351
Lordstown, OH	
Lore City, OH	
Loreauville, LA	
Lorena, TX	252
Lorenz Park, NY	
Lorenzo, IL	
Lorenzo, TX	
Loretto, MN	176
Loretto, PA	
Loretto, TN	139
Loris, SC	184
Lorraine, NY	
Lorton, VA	279
Los Alamitos, CA	480
Los Alamos, CA	1,007
Los Alamos, NM	273
Los Altos Hills, CA	2,075
Los Altos, CA	1,558
Los Alvarez, TX	
Los Angeles, CA	617
Los Arrieros, TX	
Los Banos, CA	237
Los Barreras, TX	
Los Berros, CA	
Los Cerrillos, NM	263
Los Ebanos, TX	18
Los Fresnos, TX	136
Los Gatos, CA	1,256
Los Indios, TX	
Los Luceros, NM	
Los Molinos, CA	273
Los Ojos, NM	
Los Olivos, CA	984
Los Osos, CA	530
Los Ranchos, CA	
Lost Bridge Village, AR	262
Lost City, OK	
Lost Creek, TX	542
Lost Hills, CA	
Lost Nation, IA	
Lost Nation, IL	129
Lostant, IL	
Lothian, MD	
Lott, TX	
Loudon, NH	165
Loudon, TN	234
Loudonville, NY	240
Loudonville, OH	35
Loudoun Valley Estates, VA	224
Loughman, FL	223
Louisburg, KS	152
Louisburg, MO	
Louisburg, NC	177
Louise, TX	
Louisville, AL	
Louisville, CO	373
Louisville, KS	
Louisville, KY	160
Louisville, NE	147
Louisville, NY	
Louisville, OH	140
Louisville, TN	238
Louviers, CO	
Love Valley, NC	
Lovejoy, GA	151
Lovelaceville, KY	
Loveland Park, OH	
Loveland, CO	229
Loveland, IA	
Loveland, OH	189
Loves Park, IL	112
Lovettsville, VA	242
Loving, NM	
Lovingston, VA	
Lovington, NM	98
Low Moor, IA	
Lowell, AR	185
Lowell, IN	168
Lowell, MA	294
Lowell, MI	160
Lowell, NC	167
Lowell, OH	
Lowell, OR	367
Lowell, WI	
Lowellville, OH	107
Lower Allen, PA	117
Lower Berkshire Valley, NJ	
Lower Burrell, PA	113
Lower Grand Lagoon, FL	370
Lower Lake, CA	234
Lower Salem, OH	
Lowes Island, VA	235
Lowes, KY	
Lowesville, NC	
Lowgap, NC	139
Lowman, ID	
Lowndesboro, AL	
Lowpoint, IL	53
Lowrey, OK	
Lowry Crossing, TX	296
Lowrys, SC	177
Loxahatchee Groves, FL	298
Loxley, AL	167
Loyalhanna, PA	123
Loyola, CA	1,413
Lozano, TX	
Lubbock, TX	132
Lucama, NC	93
Lucas Valley-Marinwood, CA	758
Lucas, OH	
Lucas, TX	290
Lucasville, OH	
Lucerne Mines, PA	
Lucerne Valley, CA	183
Lucerne, CA	235
Luckey, OH	112
Ludington, MI	200
Ludlow Falls, OH	
Ludlow, IL	
Ludlow, KY	167
Ludlow, MA	168
Ludlow, VT	
Ludowici, GA	149
Lueders, TX	
Lufkin, TX	121
Luke, MD	
Lula, GA	155
Lula, MS	
Luling, LA	140
Luling, TX	178
Lumber Bridge, NC	94
Lumber City, PA	
Lumberton, NC	103
Lumberton, TX	146
Lummi Island, WA	499
Luna Pier, MI	83
Lunenburg, MA	293
Lupus, MO	
Luray, MO	
Lusby, MD	174
Lutcher, LA	115
Luther, IA	
Luther, OK	144
Luthersville, GA	147
Lutherville, MD	256
Luttrell, TN	
Lutz, FL	249
Luxemburg, IA	
Luxemburg, WI	188
Luxora, AR	
Luzerne, PA	108
Lydia, LA	
Lydia, SC	
Lyerly, GA	
Lyford, TX	
Lykens, PA	35
Lyle, MN	
Lyman, MS	150
Lyman, NE	
Lyman, SC	165
Lyman, WA	
Lyme, NY	34
Lynbrook, NY	346
Lynchburg, Moore County, TN	234
Lynchburg, MS	
Lynchburg, VA	170
Lyncourt, NY	113
Lynd, MN	
Lynden, WA	313
Lyndhurst, OH	140
Lyndhurst, VA	183
Lyndon, IL	
Lyndon, KS	42
Lyndon, KY	189
Lyndon, NY	
Lyndonville, NY	66
Lynn Center, IL	
Lynn Haven, FL	190
Lynn, MA	321
Lynnfield, MA	402
Lynnview, KY	132
Lynnville, IA	
Lynnville, IL	
Lynnville, IN	138
Lynnwood-Pricedale, PA	
Lynnwood, WA	394
Lynwood, CA	611
Lynwood, IL	151
Lyon Mountain, NY	
Lyon, MS	
Lyons, CO	315
Lyons, GA	
Lyons, IL	152
Lyons, MI	91
Lyons, NJ	313
Lyons, NY	74
Lyons, OH	
Lyons, OR	313
Lyons, PA	211
Lyons, SD	
Lyons, TX	
Lyons, WI	
Lysander, NY	171
Lytle Creek, CA	
Lytle, TX	
Maalaea, HI	674
Mabank, TX	191
Mabel, MN	
Mableton, GA	185
Mabton, WA	
Macclenny, FL	186
Macclesfield, NC	
Macdona, TX	
MacDonnell Heights, NY	
Macedon, NY	
Macedonia, IA	
Macedonia, OH	165
Maceo, KY	
Machesney Park, IL	91
Machias, NY	59
Machias, WA	239
Mack, OH	164
Mackenzie, MO	
Mackinaw, IL	78
Macksburg, IA	
Macksburg, OH	
Macomb, IL	53
Macomb, NY	
Macomb, OK	120
Macon, GA	97
Macon, IL	54
Macopin, NJ	303
Macungie, PA	188
Macy, IN	
Madeira Beach, FL	659
Madeira, OH	235
Madera Acres, CA	280
Madera Ranchos, CA	278
Madera, CA	236
Madison Center, CT	349
Madison Heights, MI	198
Madison Heights, VA	146
Madison Park, NJ	
Madison Place, OH	205
Madison, AL	168
Madison, AR	
Madison, CA	
Madison, GA	195
Madison, IL	47
Madison, IN	148
Madison, MD	901
Madison, MS	149
Madison, NC	136
Madison, NE	85
Madison, NJ	403
Madison, NY	
Madison, OH	129
Madison, PA	
Madison, VA	200
Madison, WI	228
Madisonburg, PA	
Madisonville, KY	115
Madisonville, LA	163
Madrid, AL	
Madrid, IA	159
Madrid, NM	263
Maeser, UT	135
Maeystown, IL	
Magalia, CA	209
Magee, MS	80
Maggie Valley, NC	237
Magna, UT	195
Magnet Cove, AR	
Magnetic Springs, OH	
Magnolia Beach, TX	
Magnolia Springs, AL	
Magnolia, AR	13
Magnolia, DE	
Magnolia, IA	
Magnolia, IL	
Magnolia, KY	
Magnolia, MS	
Magnolia, NJ	173
Magnolia, OH	118
Magnolia, TX	170
Mahanoy City, PA	30
Maharishi Vedic City, IA	
Mahinahina, HI	907
Mahomet, IL	170
Mahopac, NY	269
Mahtomedi, MN	210
Maiden Rock, WI	
Maiden, NC	179
Maili, HI	531
Maine, NY	23
Maine, WI	
Maineville, OH	158
Mainville, PA	
Maitland, FL	265
Maitland, PA	
Maize, KS	146
Makaha Valley, HI	673
Makaha, HI	477
Makakilo, HI	562
Makanda, IL	147
Makawao, HI	858
Makena, HI	3,113
Malabar, FL	261
Malaga, CA	
Malaga, NJ	283
Malakoff, TX	300
Malcolm, NE	
Malden-on-Hudson, NY	259
Malden, IL	
Malden, MA	389
Malden, MO	63
Malden, WA	
Malibu, CA	1,566
Malin, OR	142
Mallard Bay, OK	
Malmo, NE	
Malone, NY	99
Malone, WA	
Malta Bend, MO	
Malta, ID	
Malta, IL	155
Malta, NY	227
Maltby, WA	410
Malvern, AL	152
Malvern, AR	86
Malvern, IA	
Malvern, OH	204
Malvern, PA	259
Malverne Park Oaks, NY	
Malverne, NY	395
Mamanasco Lake, CT	
Mamaroneck, NY	270
Mamers, NC	179
Mammoth, AZ	15
Mammoth, PA	128
Manahawkin, NJ	256
Manalapan, FL	
Manasota Key, FL	497
Manasquan, NJ	495
Manassas Park, VA	233
Manassas, VA	240
Manatee Road, FL	69
Manchaca, TX	301
Manchester Center, VT	253
Manchester, CA	
Manchester, CT	163
Manchester, GA	102
Manchester, IL	
Manchester, KY	102
Manchester, MA	502
Manchester, MD	181
Manchester, MI	140
Manchester, MN	
Manchester, MO	192
Manchester, NH	239
Manchester, NY	52
Manchester, PA	145
Manchester, TN	170
Manchester, VA	175
Manchester, VT	180
Manchester, WA	251
Mandeville, LA	170
Manele, HI	
Mango, FL	187
Mangonia Park, FL	239
Manhasset Hills, NY	1,178
Manhasset, NY	570
Manhattan Beach, CA	1,389
Manhattan Beach, MN	
Manhattan, IL	159
Manhattan, KS	126
Manhattan, MT	291
Manhattan, NY	1,490
Manheim, NY	63
Manheim, PA	174
Manila, AR	113
Manila, CA	
Manistee Lake, MI	
Manitou Beach-Devils Lake, MI	334
Manitou Springs, CO	
Manitou, KY	
Manitowoc, WI	120
Manley, NE	
Manlius, IL	
Manlius, NY	167
Manly, IA	64
Mannford, OK	155
Manning, IA	79
Manning, SC	113
Manns Harbor, NC	
Mannsville, NY	
Manor Creek, KY	
Manor, PA	158
Manor, TX	194
Manorhaven, NY	600
Manorville, NY	323
Manorville, PA	35
Mansfield Center, CT	183
Mansfield Center, MA	349
Mansfield, GA	163
Mansfield, IL	87
Mansfield, LA	59
Mansfield, MA	283
Mansfield, NY	161
Mansfield, OH	98
Mansfield, SD	
Mansfield, TX	187
Mansfield, WA	
Manson, WA	
Manteca, CA	325
Manteno, IL	149
Manteo, NC	364
Mantoloking, NJ	
Manton, CA	
Manton, MI	
Mantorville, MN	
Mantua, OH	159
Mantua, UT	
Mantua, VA	295
Manuel Garcia, TX	
Manvel, TX	172
Manville, NJ	316
Maple Bluff, WI	276
Maple Falls, WA	322
Maple Glen, PA	267
Maple Grove, MN	191
Maple Heights-Lake Desire, WA	340
Maple Heights, OH	90
Maple Hill, KS	
Maple Lake, MN	241
Maple Park, IL	182
Maple Plain, MN	189
Maple Rapids, MI	57
Maple Ridge, OH	
Maple Valley, WA	358
Maplesville, AL	117
Mapleton, IL	
Mapleton, OR	
Mapleton, UT	193
Mapleview, MN	76
Mapleville, MD	
Maplewood Park, OH	
Maplewood, MN	184
Maplewood, MO	228
Maplewood, WA	364
Maquon, IL	42
Mar-Mac, NC	121
Maramec, OK	
Marana, AZ	210
Marathon City, WI	136
Marathon, FL	619
Marathon, IA	
Marathon, NY	66
Marathon, OH	
Marble City, OK	111
Marble Cliff, OH	263
Marble Hill, MO	106
Marble, MN	103
Marblehead, MA	503
Marblehead, OH	254
Marblemount, WA	383
Marbletown, NY	342
Marbury, AL	
Marcelline, IL	
Marcellus, MI	168
Marcellus, NY	
Marco Island, FL	692
Marco Shores-Hammock Bay, FL	351
Marcola, OR	
Marcus Hook, PA	103
Marcus, WA	140
Marcy, NY	260
Marengo, IL	110
Marengo, OH	161
Margaret, AL	139
Margate City, NJ	657
Margate, FL	234
Maria Stein, OH	
Marianna, PA	
Mariaville Lake, NY	
Maribel, WI	
Maricopa, AZ	188
Maricopa, CA	170
Mariemont, OH	348
Marietta-Alderwood, WA	434
Marietta, GA	198
Marietta, IL	
Marietta, NC	
Marietta, OH	123
Marietta, OK	103
Marietta, PA	164
Marilla, NY	119
Marin City, CA	868
Marina del Rey, CA	802
Marina, CA	508
Marine City, MI	122
Marine on St. Croix, MN	
Marine View, WA	
Marine, IL	
Marinette, WI	103
Maringouin, LA	195
Marion Center, MA	318
Marion Center, PA	
Marion Heights, PA	41
Marion Oaks, FL	174
Marion, AR	119
Marion, IA	125
Marion, IL	89
Marion, IN	71
Marion, LA	
Marion, MA	365
Marion, MN	
Marion, MT	303
Marion, NC	183
Marion, NY	
Marion, OH	102
Marion, OR	
Marion, PA	
Marion, SD	
Marion, TX	226
Marion, UT	
Marissa, IL	30
Mark, IL	
Marked Tree, AR	57
Markham, IL	85
Markham, TX	
Markham, WA	
Markle, IN	112
Markleville, IN	99
Markleysburg, PA	
Marksboro, NJ	
Marlboro Meadows, MD	338
Marlboro Village, MD	227
Marlboro, NJ	
Marlboro, NY	297
Marlboro, OH	
Marlborough, MA	289
Marlborough, MO	132
Marlborough, NH	
Marlborough, NY	179
Marlene Village, OR	326
Marley, IL	
Marlin, PA	
Marlin, TX	54
Marlow Heights, MD	225
Marlow, OK	
Marlton, MD	247
Marlton, NJ	209
Marmaduke, AR	112
Marmora, NJ	
Marne, OH	
Maroa, IL	113
Marquette Heights, IL	89
Marquette, KS	
Marquette, MI	194
Marrero, LA	136
Marriott-Slaterville, UT	
Mars Hill, NC	219
Mars, PA	203
Marseilles, IL	142
Marshall Creek, TX	
Marshall, CA	
Marshall, IN	57
Marshall, MI	135
Marshall, MN	132
Marshall, MO	88
Marshall, NC	285
Marshall, NY	
Marshall, OK	
Marshall, TX	112
Marshall, VA	303
Marshall, WI	187
Marshallberg, NC	
Marshallton, PA	71
Marshalltown, IA	103
Marshallville, NJ	
Marshallville, OH	
Marshfield Hills, MA	310
Marshfield, IN	
Marshfield, MA	358
Marshfield, MO	129
Marshfield, VT	186
Marshfield, WI	129
Marshville, NC	164
Marsing, ID	
Mart, TX	
Martell, NE	
Martelle, IA	
Martensdale, IA	
Martha Lake, WA	411
Martha, OK	
Marthasville, MO	158
Martin City, MT	
Martin Lake, MN	
Martin, GA	256
Martin, MI	221
Martin, TN	59
Martin's Additions, MD	639
Martindale, TX	
Martinez Lake, AZ	
Martinez, CA	484
Martinez, GA	155
Martins Creek, PA	
Martins Ferry, OH	101
Martinsburg, MO	
Martinsburg, NE	
Martinsburg, OH	
Martinsburg, PA	76
Martinsburg, WV	154
Martinsville, IN	130
Martinsville, NJ	258
Martinsville, OH	159
Martinsville, VA	42
Marumsco, VA	229
Marvel, CO	
Marvell, AR	
Marvin, NC	257
Mary Esther, FL	196
Maryhill Estates, KY	
Maryland City, MD	224
Maryland Heights, MO	182
Maryland Park, MD	219
Maryland, NY	89
Marysville, CA	224
Marysville, MI	154
Marysville, MT	
Marysville, OH	176
Marysville, PA	133
Marysville, WA	320
Maryville, IL	130
Maryville, MO	160
Maryville, TN	209
Masaryktown, FL	188
Mascot, TN	200
Mascotte, FL	200
Mascoutah, IL	146
Mashpee Neck, MA	436
Mashpee, MA	375
Mason City, IA	100
Mason Neck, VA	362
Mason, IL	
Mason, MI	128
Mason, OH	170
Mason, TN	139
Masontown, PA	91
Masonville, KY	164
Massac, KY	123
Massanetta Springs, VA	187
Massanutten, VA	191
Massapequa Park, NY	404
Massapequa, NY	397
Massena, NY	69
Massieville, OH	
Massillon, OH	124
Masthope, PA	206
Mastic Beach, NY	338
Mastic, NY	281
Masury, OH	74
Matagorda, TX	
Matamoras, OH	
Matamoras, PA	225
Matawan, NJ	313
Matheny, CA	
Mather, CA	324
Matherville, IL	
Matheson, CO	
Mathews, LA	110
Mathews, VA	253
Mathiston, MS	
Matinecock, NY	
Matlacha Isles-Matlacha Shores, FL	439
Matlacha, FL	478
Matoaca, VA	160
Mattapoisett Center, MA	312
Mattapoisett, MA	312
Mattawa, WA	
Mattawamkeag, ME	108
Mattawana, PA	
Matteson, IL	141
Matthews, IN	
Matthews, NC	215
Mattituck, NY	230
Mattoon, IL	73
Mattoon, WI	
Mattydale, NY	97
Mauckport, IN	70
Maud, OK	
Maud, TX	
Maugansville, MD	199
Mauldin, SC	157
Maumee, OH	141
Maumelle, AR	155
Mauna Loa Estates, HI	402
Maunaloa, HI	
Maunawili, HI	954
Maupin, OR	110
Maurice, LA	138
Mauricetown, NJ	75
Mauriceville, TX	140
Maury City, TN	
Maxatawny, PA	169
Maxton, NC	
Maxwell, IA	
Maxwell, NE	
May Creek, WA	310
May, TX	
Maybee, MI	161
Maybell, CO	
Maybrook, NY	199
Mayer, AZ	283
Mayer, MN	
Mayesville, SC	
Mayetta, KS	103
Mayfair, CA	249
Mayfield Heights, OH	153
Mayfield, KY	104
Mayfield, NY	155
Mayfield, OH	173
Mayfield, PA	61
Mayflower Village, CA	613
